Position in x [m],Voltage [V]
-0.06835,4.36334
-0.0683412,4.40871
-0.0683332,4.50207
-0.0683242,4.50323
-0.0683155,4.48133
-0.0683065,4.50777
-0.0682973,4.58506
-0.0682882,4.62656
-0.0682789,4.58182
-0.0682689,4.61776
-0.0682592,4.6285
-0.0682502,4.60193
-0.0682414,4.59932
-0.0682335,4.5345
-0.0682254,4.5113
-0.0682172,4.50243
-0.0682093,4.48212
-0.068201,4.51245
-0.0681924,4.49558
-0.068184,4.47824
-0.068175,4.46965
-0.0681661,4.42154
-0.0681571,4.39315
-0.0681485,4.37759
-0.0681405,4.31017
-0.0681343,4.27307
-0.0681275,4.23352
-0.0681219,4.12344
-0.0681163,4.20916
-0.0681113,4.30692
-0.0681062,4.45797
-0.0680995,4.2954
-0.0680923,4.19281
-0.0680847,4.17531
-0.068077,4.17531
-0.0680691,4.27386
-0.068061,4.28502
-0.0680529,4.25311
-0.0680444,4.26867
-0.0680356,4.28344
-0.0680262,4.26349
-0.0680169,4.27386
-0.0680074,4.27905
-0.0679975,4.29136
-0.0679877,4.28942
-0.0679777,4.29979
-0.0679678,4.35606
-0.0679584,4.37759
-0.0679496,4.38797
-0.0679407,4.37241
-0.067931,4.39704
-0.0679213,4.50207
-0.0679117,4.56547
-0.0679005,4.66286
-0.0678889,4.67858
-0.0678771,4.71394
-0.0678668,4.72914
-0.0678571,4.65768
-0.0678488,4.55949
-0.0678405,4.4698
-0.0678327,4.38991
-0.067824,4.33119
-0.0678155,4.30252
-0.0678073,4.26103
-0.0677995,4.1993
-0.067791,4.18568
-0.0677829,4.20334
-0.0677737,4.27192
-0.0677638,4.38797
-0.067754,4.4095
-0.0677441,4.43983
-0.0677336,4.43386
-0.0677237,4.43932
-0.0677136,4.44229
-0.0677038,4.42946
-0.0676944,4.41117
-0.0676843,4.42946
-0.067674,4.54357
-0.0676631,4.53969
-0.0676528,4.55913
-0.0676416,4.66286
-0.0676295,4.75068
-0.067618,4.70162
-0.0676069,4.65249
-0.0675968,4.61503
-0.0675864,4.5695
-0.0675765,4.57369
-0.0675661,4.55509
-0.0675567,4.50128
-0.067547,4.46901
-0.0675369,4.45282
-0.0675275,4.45251
-0.0675183,4.50207
-0.0675085,4.51633
-0.0674983,4.50287
-0.0674885,4.46577
-0.0674785,4.42831
-0.0674685,4.39121
-0.0674589,4.30498
-0.0674487,4.18684
-0.0674388,4.07237
-0.0674299,3.93269
-0.0674206,3.84206
-0.0674113,3.76037
-0.0674017,3.70332
-0.0673923,3.6722
-0.0673843,3.62236
-0.067375,3.52293
-0.0673657,3.45436
-0.067359,3.38274
-0.0673512,3.29876
-0.0673417,3.29876
-0.0673319,3.23248
-0.0673215,3.18334
-0.0673101,3.13393
-0.0672987,3.10526
-0.0672876,2.99547
-0.0672767,2.93648
-0.0672655,2.89613
-0.0672507,2.889
