Position in z [m],Voltage [V]
0.0275941,0.02
0.0275941,0.02
0.0275949,0.02
0.0275949,0.02
0.0275965,0.02
0.0275965,0.02
0.0275973,0.02
0.0275973,0.02
0.0275981,0.02
0.0275985,0.02
0.0275997,0.02
0.0275997,0.02
0.0276005,0.02
0.0276005,0.02
0.0276017,0.02
0.0276029,0.02
0.0276029,0.02
0.0276029,0.02
0.0276041,0.02
0.0276041,0.02
0.0276054,0.02
0.0276061,0.02
0.0276061,0.02
0.0276073,0.02
0.0276073,0.02
0.0276086,0.02
0.0276086,0.02
0.0276094,0.02
0.0276098,0.02
0.0276106,0.02
0.0276106,0.02
0.0276118,0.02
0.0276126,0.02
0.0276126,0.02
0.0276138,0.02
0.0276146,0.02
0.027615,0.02
0.0276158,0.02
0.0276158,0.02
0.027617,0.02
0.027617,0.02
0.0276178,0.02
0.0276186,0.02
0.027619,0.02
0.0276202,0.02
0.0276202,0.02
0.027621,0.02
0.027621,0.02
0.0276222,0.02
0.027623,0.02
0.0276234,0.02
0.0276242,0.03
0.0276242,0.03
0.027625,0.03
0.0276255,0.03
0.0276267,0.03
0.0276267,0.03
0.0276275,0.03
0.0276282,0.03
0.0276287,0.03
0.0276299,0.03
0.0276299,0.02
0.0276307,0.02
0.0276315,0.02
0.0276319,0.02
0.0276331,0.02
0.0276331,0.02
0.0276339,0.02
0.0276339,0.02
0.0276347,0.02
0.0276359,0.02
0.0276363,0.02
0.0276371,0.02
0.0276371,0.02
0.0276379,0.02
0.0276387,0.02
0.0276387,0.02
0.0276403,0.02
0.0276403,0.02
0.0276411,0.02
0.0276419,0.02
0.0276419,0.02
0.0276431,0.02
0.0276436,0.02
0.0276443,0.02
0.0276451,0.02
0.0276451,0.02
0.0276459,0.02
0.0276472,0.02
0.0276484,0.02
0.0276484,0.02
0.0276491,0.02
0.0276491,0.02
0.0276499,0.02
0.0276512,0.02
0.0276516,0.02
0.0276524,0.02
0.0276532,0.02
0.0276532,0.02
0.027654,0.02
0.0276548,0.02
0.0276556,0.02
0.0276564,0.02
0.0276564,0.02
0.0276572,0.02
0.0276572,0.02
0.0276588,0.02
0.0276596,0.02
0.0276596,0.02
0.0276604,0.02
0.0276612,0.02
0.0276616,0.02
0.0276628,0.02
0.0276628,0.02
0.0276636,0.02
0.0276644,0.02
0.0276644,0.02
0.027666,0.02
0.027666,0.02
0.0276668,0.02
0.0276668,0.02
0.0276676,0.02
0.0276676,0.02
0.0276693,0.02
0.02767,0.02
0.02767,0.02
0.0276708,0.02
0.0276708,0.02
0.027672,0.02
0.0276725,0.02
0.0276733,0.02
0.0276741,0.02
0.0276741,0.02
0.0276748,0.02
0.0276757,0.02
0.0276765,0.02
0.0276765,0.02
0.0276773,0.02
0.0276781,0.02
0.0276781,0.02
0.0276797,0.02
0.0276797,0.02
0.0276805,0.02
0.0276813,0.02
0.0276813,0.02
0.0276821,0.02
0.0276833,0.02
0.0276837,0.02
0.0276845,0.02
0.0276853,0.02
0.0276853,0.02
0.0276861,0.02
0.0276877,0.02
0.0276877,0.02
0.0276885,0.02
0.0276893,0.02
0.0276901,0.02
0.0276901,0.02
0.0276913,0.02
0.0276925,0.02
0.0276933,0.02
0.0276941,0.02
0.0276941,0.02
0.0276949,0.02
0.0276957,0.02
0.0276969,0.02
0.0276981,0.02
0.0276981,0.02
0.0276989,0.02
0.0276997,0.02
0.0276997,0.02
0.0277009,0.02
0.0277017,0.02
0.0277021,0.02
0.0277029,0.02
0.0277037,0.02
0.0277037,0.02
0.0277045,0.02
0.0277057,0.02
0.0277065,0.02
0.0277069,0.02
0.0277077,0.02
0.0277085,0.02
0.0277085,0.02
0.0277093,0.02
0.0277105,0.02
0.0277117,0.02
0.0277125,0.02
0.0277125,0.02
0.0277133,0.02
0.0277141,0.02
0.0277153,0.02
0.0277153,0.02
0.0277165,0.02
0.0277173,0.02
0.0277181,0.02
0.0277189,0.02
0.0277193,0.02
0.0277201,0.02
0.0277213,0.02
0.0277213,0.02
0.0277221,0.02
0.0277229,0.02
0.0277241,0.02
0.0277241,0.02
0.0277254,0.02
0.0277254,0.02
0.0277261,0.02
0.0277273,0.02
0.0277273,0.02
0.0277281,0.02
0.0277294,0.02
0.0277294,0.02
0.0277302,0.02
0.0277313,0.02
0.0277313,0.02
0.0277326,0.02
0.0277326,0.02
0.0277334,0.02
0.0277346,0.02
0.0277346,0.02
0.0277358,0.02
0.0277358,0.02
0.0277366,0.02
0.027737,0.02
0.0277378,0.02
0.027739,0.02
0.027739,0.02
0.0277398,0.02
0.0277402,0.02
0.027741,0.02
0.0277418,0.02
0.0277422,0.02
0.027743,0.02
0.0277438,0.02
0.0277442,0.02
0.0277455,0.02
0.0277462,0.02
0.0277462,0.02
0.027747,0.02
0.0277474,0.02
0.0277482,0.02
0.0277487,0.02
0.0277495,0.02
0.0277503,0.02
0.0277507,0.02
0.0277515,0.02
0.0277527,0.02
0.0277527,0.02
0.0277535,0.02
0.0277547,0.02
0.0277547,0.02
0.0277559,0.02
0.0277559,0.02
0.0277567,0.02
0.0277571,0.04
0.0277579,0.04
0.0277591,0.04
0.0277599,0.04
0.0277599,0.04
0.0277607,0.04
0.0277619,0.04
0.0277623,0.04
0.0277631,0.04
0.0277639,0.04
0.0277639,0.04
0.0277651,0.04
0.0277663,0.04
0.0277663,0.04
0.0277671,0.04
0.0277679,0.03
0.0277683,0.03
0.0277696,0.03
0.0277704,0.03
0.0277704,0.03
0.0277711,0.02
0.0277711,0.02
0.0277728,0.02
0.0277736,0.02
0.0277736,0.02
0.0277744,0.02
0.0277756,0.02
0.027776,0.02
0.0277768,0.02
0.0277776,0.02
0.0277776,0.02
0.0277788,0.02
0.02778,0.02
0.02778,0.02
0.0277808,0.02
0.0277812,0.02
0.027782,0.02
0.0277824,0.02
0.0277832,0.02
0.027784,0.02
0.0277844,0.02
0.0277852,0.02
0.0277864,0.02
0.0277864,0.02
0.0277872,0.02
0.0277876,0.02
0.0277884,0.02
0.0277897,0.02
0.0277897,0.02
0.0277905,0.02
0.0277921,0.02
0.0277921,0.02
0.0277929,0.02
0.0277937,0.02
0.0277945,0.02
0.0277953,0.02
0.0277961,0.02
0.0277961,0.02
0.0277969,0.02
0.0277977,0.02
0.0277985,0.02
0.0277985,0.02
0.0277993,0.02
0.0277993,0.02
0.027801,0.02
0.027801,0.02
0.0278017,0.02
0.0278025,0.02
0.0278025,0.02
0.0278042,0.02
0.0278042,0.02
0.027805,0.02
0.0278058,0.02
0.0278062,0.02
0.0278074,0.02
0.0278074,0.02
0.0278082,0.02
0.027809,0.02
0.0278094,0.02
0.0278106,0.02
0.0278106,0.02
0.0278114,0.02
