Position in z [a.u.],Voltage [V]
0.0132257,0.232612
0.013227,0.233402
0.0132312,0.239893
0.0132351,0.233402
0.0132414,0.233402
0.0132478,0.233402
0.0132542,0.233402
0.0132606,0.231461
0.0132678,0.233402
0.0132742,0.228216
0.0132806,0.228216
0.0132874,0.22952
0.0132946,0.227065
0.0133014,0.228216
0.0133082,0.227425
0.013315,0.228216
0.0133223,0.228216
0.0133278,0.233402
0.013335,0.228216
0.0133414,0.233402
0.0133469,0.233402
0.0133542,0.233402
0.0133618,0.23031
0.0133686,0.233402
0.0133763,0.234706
0.0133835,0.233402
0.0133912,0.230157
0.0133984,0.228216
0.0134065,0.227065
0.0134137,0.230157
0.0134235,0.238589
0.0134324,0.238589
0.0134413,0.231308
0.0134498,0.228216
0.0134583,0.22952
0.0134668,0.228216
0.0134757,0.232612
0.0134855,0.227065
0.0134927,0.229007
0.0135012,0.233402
0.0135097,0.228216
0.0135182,0.223029
0.0135279,0.228216
0.0135385,0.228216
0.0135474,0.223029
0.0135572,0.223029
0.0135657,0.228216
0.0135742,0.217842
0.0135831,0.223029
0.0135924,0.223029
0.0136018,0.228216
0.0136111,0.229366
0.01362,0.233402
0.0136289,0.233402
0.0136379,0.22952
0.0136468,0.228216
0.0136557,0.233402
0.0136642,0.229007
0.0136739,0.22952
0.0136829,0.228216
0.0136935,0.228216
0.0137019,0.228216
0.0137117,0.228216
0.0137206,0.223029
0.0137304,0.238589
0.0137401,0.233402
0.0137499,0.223029
0.0137597,0.228216
0.0137694,0.231461
0.0137788,0.228216
0.0137872,0.237439
0.0137974,0.233402
0.0138055,0.23067
0.0138157,0.233402
0.0138246,0.233402
0.0138339,0.236648
0.0138429,0.233402
0.0138518,0.230948
0.0138611,0.233402
0.01387,0.232612
0.0138789,0.233402
0.013887,0.22382
0.0138963,0.232252
0.0139048,0.234553
0.0139142,0.234553
0.0139231,0.233402
0.013932,0.226912
0.0139409,0.232252
0.0139498,0.23067
0.0139596,0.233402
0.0139694,0.228216
0.0139783,0.228216
0.0139885,0.233402
0.0139982,0.233402
0.014008,0.230157
0.0140169,0.224333
0.0140267,0.228216
0.0140356,0.228216
0.0140454,0.228216
0.0140556,0.228216
0.0140662,0.232612
0.0140751,0.234553
0.0140848,0.233402
0.0140946,0.228216
0.0141048,0.233402
0.0141141,0.228216
0.0141239,0.228216
0.0141332,0.233402
0.014143,0.233402
0.0141536,0.233402
0.0141634,0.228216
0.0141727,0.230157
0.0141829,0.22497
0.0141927,0.233402
0.0142016,0.233402
0.0142114,0.228216
0.0142212,0.233402
0.0142305,0.233402
0.0142403,0.238589
0.01425,0.233402
0.0142598,0.233402
0.0142683,0.233402
0.0142763,0.233402
0.0142857,0.233402
0.0142941,0.238589
0.0143026,0.233402
0.0143115,0.228216
0.0143204,0.229366
0.0143298,0.227065
0.0143387,0.228216
0.0143497,0.228216
0.014359,0.229797
0.0143683,0.22382
0.0143777,0.228216
0.0143874,0.228216
0.0143968,0.233402
0.0144069,0.228216
0.0144163,0.233402
0.0144256,0.233402
0.0144349,0.225124
0.0144443,0.228216
0.0144536,0.232252
0.0144633,0.233402
0.0144731,0.236135
0.0144816,0.233402
0.0144909,0.233402
0.0144998,0.233402
0.0145087,0.226912
0.0145176,0.223029
0.0145269,0.228216
0.0145358,0.223029
0.0145447,0.226274
0.0145549,0.226121
0.0145638,0.231308
0.0145727,0.233402
0.0145821,0.23067
0.0145918,0.224333
0.0146012,0.224611
0.0146105,0.223029
0.0146207,0.223029
0.0146296,0.228216
0.0146398,0.228216
0.0146487,0.228216
0.0146577,0.228216
0.0146678,0.230948
0.0146772,0.22952
0.0146865,0.225761
0.0146959,0.223029
0.0147061,0.229366
0.0147146,0.233402
0.0147235,0.228216
0.0147324,0.229007
0.0147421,0.232252
0.0147515,0.232612
0.0147612,0.232252
0.0147718,0.233402
0.0147803,0.228216
0.0147909,0.231461
0.0148015,0.228216
0.0148117,0.227425
0.0148219,0.230948
0.0148316,0.22418
0.0148414,0.223029
0.0148516,0.22952
0.0148605,0.225484
0.0148698,0.228216
0.0148788,0.226274
0.0148885,0.228216
0.0148983,0.229366
0.0149076,0.237798
0.0149169,0.227703
0.0149258,0.226121
0.0149352,0.228216
0.0149445,0.231461
0.0149526,0.232612
0.0149611,0.22382
0.0149713,0.22418
0.0149806,0.223029
0.0149912,0.22952
0.0150001,0.228216
0.0150086,0.231461
0.0150179,0.230157
0.0150277,0.233402
0.015037,0.23067
0.0150464,0.228216
0.0150557,0.223029
0.015065,0.223029
0.0150743,0.228216
0.0150837,0.229366
0.015093,0.228216
0.0151019,0.233402
0.0151121,0.233402
0.0151214,0.233402
0.0151307,0.233402
0.01514,0.228216
0.0151502,0.228216
0.0151599,0.228216
0.0151693,0.233402
0.015179,0.223029
0.0151888,0.223029
0.0151985,0.228216
0.0152083,0.228216
0.0152172,0.224333
0.0152265,0.233402
0.0152362,0.233402
0.015246,0.228216
0.0152549,0.227425
0.0152651,0.228216
0.0152752,0.223029
0.015285,0.220575
0.0152939,0.223029
0.0153037,0.227425
0.0153138,0.228216
0.015324,0.229366
0.0153337,0.227065
0.0153427,0.232099
0.0153528,0.231308
0.0153622,0.233402
0.0153728,0.228216
0.0153834,0.226274
