Position in z [a.u.],Voltage [V]
0.0335697,0.10698
0.0335604,0.0996983
0.0335519,0.0973971
0.0335349,0.103734
0.0335311,0.100489
0.0335179,0.106467
0.033511,0.102584
0.0335017,0.103734
0.0334909,0.103734
0.0334752,0.105038
0.0334651,0.108921
0.0334542,0.105829
0.0334472,0.103734
0.0334355,0.102944
0.033427,0.103734
0.0334162,0.102944
0.0334077,0.10698
0.0333969,0.104885
0.0333861,0.108921
0.0333753,0.103734
0.0333668,0.100129
0.0333576,0.0993385
0.0333461,0.103734
0.0333391,0.102944
0.0333299,0.112526
0.0333206,0.121236
0.0333121,0.167917
0.0333013,0.211865
0.0332935,0.180231
0.0332804,0.146532
0.0332742,0.136796
0.0332642,0.128364
0.033255,0.123331
0.0332441,0.114108
0.0332348,0.108921
0.0332263,0.111376
0.0332147,0.104885
0.0332069,0.112013
0.0331977,0.148473
0.0331868,0.180744
0.0331791,0.196305
0.0331676,0.202282
0.0331576,0.196305
0.0331491,0.19385
0.0331399,0.197095
0.0331252,0.191909
0.033119,0.188304
0.0331097,0.191118
0.0330981,0.186722
0.0330887,0.187873
0.0330795,0.181535
0.0330679,0.185931
0.0330594,0.176349
0.0330524,0.170011
0.0330416,0.168707
0.0330331,0.165975
0.0330246,0.173894
0.0330154,0.177499
0.0330054,0.18399
0.0329977,0.175558
0.0329847,0.167917
0.0329785,0.179441
0.0329685,0.176349
0.03296,0.172466
0.0329507,0.176349
0.0329415,0.174407
0.0329299,0.167126
0.0329214,0.171162
0.032909,0.172466
0.0329013,0.181535
0.0328904,0.186722
0.0328796,0.184268
0.0328688,0.186722
0.032861,0.190605
0.032851,0.185418
0.0328417,0.181535
0.0328301,0.182839
0.0328209,0.189176
0.0328101,0.187873
0.0327992,0.182686
0.0327892,0.184627
0.0327791,0.186722
0.0327713,0.180385
0.032762,0.190327
0.0327512,0.186722
0.0327426,0.191909
0.0327318,0.182326
0.0327225,0.182839
0.0327124,0.185571
0.0326993,0.182326
0.0326915,0.184268
0.0326822,0.181535
0.0326722,0.181535
0.0326622,0.185571
0.0326537,0.190758
0.0326429,0.190327
0.0326321,0.184781
0.0326259,0.188663
0.0326135,0.191909
0.0326051,0.191909
0.0325951,0.186722
0.0325828,0.182686
0.0325735,0.189454
0.0325618,0.181535
0.0325564,0.191118
0.0325456,0.17829
0.0325348,0.185931
0.0325271,0.189023
0.0325155,0.184781
0.0325062,0.178443
0.0324977,0.186722
0.0324869,0.191909
0.0324784,0.189176
0.0324676,0.187873
0.0324576,0.181535
0.0324491,0.181535
0.0324368,0.186722
0.032429,0.183477
0.032419,0.186722
0.032409,0.197886
0.0324013,0.189967
0.0323897,0.185931
0.0323805,0.184781
0.032369,0.177139
0.0323605,0.190758
0.032352,0.187873
0.0323419,0.183117
0.0323327,0.187513
0.0323219,0.187513
0.0323127,0.181535
0.032305,0.182326
0.0322926,0.181535
0.0322834,0.183117
0.0322718,0.182326
0.0322625,0.176349
0.0322517,0.186722
0.0322409,0.186722
0.0322301,0.183477
0.0322208,0.182326
0.0322093,0.182839
0.0321977,0.182686
0.0321892,0.176349
0.0321792,0.179594
0.0321699,0.186722
0.0321606,0.186722
0.0321528,0.187873
0.0321428,0.182048
0.0321334,0.181535
0.0321264,0.187235
0.0321171,0.188304
0.0321063,0.186722
0.0320977,0.176349
0.0320869,0.181535
0.0320753,0.180385
0.0320622,0.18363
0.0320514,0.185931
0.0320406,0.177499
0.0320313,0.181535
0.0320174,0.180744
0.0320081,0.177139
0.0319972,0.183117
0.0319872,0.180231
0.0319764,0.185931
0.0319648,0.190605
0.0319547,0.184268
0.031947,0.177139
0.031937,0.180231
0.0319254,0.184781
0.0319177,0.190327
0.0319054,0.190605
0.0318962,0.181535
0.0318862,0.176349
0.0318762,0.185931
0.0318685,0.183477
0.0318585,0.182839
0.0318492,0.180231
0.0318408,0.182048
0.0318308,0.176349
0.0318201,0.188304
0.0318108,0.183837
0.0318009,0.175558
0.0317902,0.182326
0.0317832,0.186722
0.0317748,0.185931
0.0317617,0.182686
0.0317532,0.181022
0.0317431,0.185571
0.0317315,0.181535
0.0317207,0.186722
0.0317129,0.190327
0.0317006,0.18363
0.0316913,0.18363
0.0316797,0.180231
0.0316681,0.181535
0.0316573,0.18399
0.0316464,0.181535
0.031634,0.181535
0.0316263,0.186722
0.0316162,0.187513
0.0316054,0.181535
0.0315954,0.172743
0.0315838,0.176349
0.0315754,0.179081
0.0315638,0.182839
0.0315553,0.186722
0.0315453,0.186722
0.0315353,0.185571
0.0315245,0.186722
0.0315152,0.181535
0.0315059,0.181535
0.0314943,0.181535
0.0314843,0.18399
0.0314743,0.171162
0.0314642,0.184781
0.0314549,0.185418
0.0314441,0.181535
0.0314356,0.181535
0.0314279,0.185571
0.0314186,0.179081
0.0314055,0.185418
0.0313978,0.190605
0.0313878,0.182326
0.031377,0.17793
0.0313685,0.174407
0.0313584,0.180385
0.0313468,0.184421
0.0313376,0.180744
0.0313244,0.176349
0.0313174,0.18399
0.0313035,0.185418
0.0312942,0.191909
0.0312842,0.18399
0.0312749,0.186722
0.0312648,0.184781
0.0312524,0.182326
0.0312408,0.181535
0.0312307,0.189967
0.0312222,0.189023
0.0312129,0.181535
0.0312036,0.187873
0.0311936,0.189176
0.0311835,0.191118
0.0311735,0.190605
0.0311635,0.186722
0.0311527,0.181535
0.0311412,0.181535
0.0311335,0.181535
0.031125,0.181535
0.0311158,0.180385
0.0311065,0.185571
0.0310972,0.179081
0.0310856,0.181535
0.0310779,0.174047
0.0310687,0.176349
0.0310579,0.183117
0.0310502,0.180385
0.0310394,0.180744
0.0310301,0.178803
0.0310215,0.185571
0.0310091,0.180231
0.0309968,0.176349
0.0309875,0.18399
0.0309789,0.182326
0.0309665,0.186722
0.0309564,0.183117
0.0309463,0.179441
0.0309323,0.181535
0.0309238,0.186722
0.0309145,0.186722
0.0309045,0.18399
0.0308945,0.182326
0.0308852,0.179081
0.0308767,0.188026
0.030866,0.18363
0.0308552,0.183477
0.0308475,0.193213
0.0308383,0.199037
0.030829,0.186722
0.0308205,0.18514
0.0308089,0.181535
0.0307989,0.185931
0.0307904,0.191909
0.0307795,0.191118
0.0307703,0.192422
0.0307602,0.18363
0.0307478,0.191909
0.0307385,0.184268
0.0307268,0.180385
0.030716,0.188026
0.030706,0.183477
0.0306928,0.182326
0.0306835,0.18363
0.030675,0.191909
0.0306649,0.191909
0.0306541,0.187513
0.0306464,0.189454
0.0306356,0.188817
0.0306256,0.181535
0.0306171,0.185418
0.0306078,0.187873
0.0305962,0.181535
0.0305885,0.185571
0.0305785,0.181535
0.0305677,0.186722
0.0305584,0.190758
0.0305467,0.187513
0.0305359,0.181535
0.0305226,0.187513
0.0305141,0.186722
0.0305017,0.187513
0.0304916,0.186722
0.0304831,0.186722
0.0304739,0.186722
0.030463,0.184268
0.0304514,0.187873
0.0304414,0.184781
0.0304321,0.188304
0.030422,0.177139
0.0304113,0.186722
0.030402,0.186722
0.0303912,0.17829
0.030382,0.189607
0.0303751,0.186722
0.0303658,0.184781
0.0303566,0.18399
0.0303466,0.181535
0.0303358,0.18399
0.030328,0.187873
0.0303172,0.189814
0.030308,0.195154
0.030298,0.185571
0.0302849,0.186722
0.0302772,0.186722
0.0302664,0.186722
0.0302571,0.18514
0.0302471,0.183477
0.0302394,0.187513
0.0302286,0.181535
0.030221,0.180231
0.0302118,0.176349
0.0302025,0.176349
0.0301909,0.186722
0.0301848,0.185418
0.030174,0.189454
0.0301639,0.191118
0.0301547,0.191909
0.0301447,0.18399
0.0301339,0.189967
0.0301254,0.181535
0.0301139,0.184268
0.0301053,0.206318
0.0300976,0.198246
0.0300883,0.189176
0.0300759,0.192422
0.0300666,0.191909
0.0300565,0.186722
0.0300465,0.190605
0.0300372,0.187513
0.0300279,0.184781
0.0300186,0.181535
0.030007,0.182326
0.0299985,0.183117
0.0299876,0.18399
0.0299776,0.176349
0.0299675,0.181535
0.0299583,0.181535
0.0299466,0.18514
0.0299389,0.188304
0.0299296,0.186722
0.0299195,0.182326
0.0299095,0.182326
0.0298963,0.199037
0.0298878,0.190327
0.0298786,0.189814
0.0298623,0.181535
0.0298562,0.186722
0.0298469,0.185931
0.0298338,0.183117
0.0298246,0.185571
0.0298138,0.182326
0.0298045,0.182686
0.029793,0.175198
0.0297837,0.182326
0.0297721,0.186722
0.0297621,0.187513
0.0297537,0.183117
0.0297437,0.187513
0.0297329,0.185571
0.0297206,0.176349
0.0297106,0.176349
0.0297013,0.173616
0.0296905,0.181535
0.0296813,0.180744
0.0296728,0.176349
0.0296613,0.176349
