Position in x [m],Voltage [V]
-0.0594515,0.01
-0.0594518,0.01
-0.0594518,0.01
-0.0594518,0.01
-0.0594523,0.01
-0.0594523,0.01
-0.0594523,0.01
-0.0594523,0.01
-0.059453,0.01
-0.059453,0.01
-0.059453,0.01
-0.0594531,0.01
-0.0594531,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594543,0.01
-0.0594546,0.01
-0.0594546,0.01
-0.0594546,0.01
-0.059455,0.01
-0.059455,0.01
-0.0594551,0.01
-0.0594554,0.01
-0.0594558,0.01
-0.0594558,0.01
-0.0594558,0.01
-0.0594558,0.01
-0.0594562,0.01
-0.0594566,0.01
-0.0594566,0.01
-0.0594566,0.01
-0.0594566,0.01
-0.059457,0.01
-0.059457,0.01
-0.0594574,0.01
-0.0594574,0.01
-0.0594578,0.01
-0.0594578,0.01
-0.0594578,0.01
-0.0594578,0.01
-0.0594582,0.01
-0.0594586,0.01
-0.0594586,0.01
-0.0594586,0.01
-0.0594586,0.01
-0.0594588,0.01
-0.0594594,0.01
-0.0594594,0.01
-0.0594594,0.01
-0.0594594,0.01
-0.0594598,0.01
-0.05946,0.01
-0.05946,0.01
-0.05946,0.01
-0.0594602,0.01
-0.0594606,0.01
-0.0594606,0.01
-0.0594606,0.01
-0.0594608,0.01
-0.0594612,0.01
-0.0594614,0.01
-0.0594614,0.01
-0.0594614,0.01
-0.0594616,0.01
-0.059462,0.01
-0.059462,0.01
-0.0594622,0.01
-0.0594622,0.01
-0.0594622,0.01
-0.0594628,0.01
-0.0594628,0.01
-0.0594628,0.01
-0.0594628,0.01
-0.059463,0.01
-0.0594633,0.01
-0.0594636,0.01
-0.0594636,0.01
-0.0594636,0.01
-0.059464,0.01
-0.0594641,0.01
-0.0594641,0.0115524
-0.0594644,0.0115524
-0.0594644,0.0115524
-0.0594648,0.0115524
-0.0594648,0.0115524
-0.0594648,0.01
-0.0594649,0.01
-0.0594652,0.01
-0.0594656,0.01
-0.0594656,0.01
-0.0594656,0.01
-0.0594656,0.01
-0.059466,0.01
-0.0594661,0.01
-0.0594664,0.01
-0.0594664,0.01
-0.0594664,0.01
-0.0594668,0.01
-0.0594668,0.01
-0.0594668,0.01
-0.0594668,0.01
-0.0594672,0.0100928
-0.0594676,0.0100928
-0.0594676,0.0100928
-0.0594676,0.0100928
-0.0594676,0.0100928
-0.059468,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594692,0.01
-0.0594692,0.01
-0.0594692,0.01
-0.0594692,0.01
-0.0594696,0.01
-0.0594696,0.01
-0.0594698,0.01
-0.05947,0.01
-0.0594704,0.01
-0.0594704,0.01
-0.0594704,0.01
-0.0594704,0.01
-0.0594708,0.01
-0.0594708,0.01
-0.0594712,0.01
-0.0594712,0.01
-0.0594712,0.01
-0.0594716,0.01
-0.0594716,0.01
-0.0594716,0.01
-0.059472,0.01
-0.0594724,0.01
-0.0594724,0.01
-0.0594724,0.01
-0.0594724,0.01
-0.0594728,0.01
-0.059473,0.01
-0.0594732,0.01
-0.0594732,0.01
-0.0594732,0.01
-0.0594736,0.01
-0.0594736,0.01
-0.0594738,0.01
-0.059474,0.01
-0.0594744,0.01
-0.0594744,0.01
-0.0594744,0.01
-0.0594744,0.01
-0.0594747,0.01
-0.0594752,0.01
-0.0594752,0.01
-0.0594752,0.01
-0.0594755,0.01
-0.0594755,0.01
-0.0594758,0.01
-0.0594758,0.01
-0.0594763,0.01
-0.0594763,0.01
-0.0594763,0.01
-0.0594763,0.01
-0.0594767,0.01
-0.059477,0.01
-0.0594771,0.01
-0.0594771,0.01
-0.0594775,0.01
-0.0594775,0.01
-0.0594778,0.01
-0.0594778,0.01
-0.0594783,0.01
-0.0594783,0.01
-0.0594783,0.01
-0.0594783,0.01
-0.059479,0.01
-0.059479,0.01
-0.0594791,0.01
-0.0594791,0.01
-0.0594795,0.01
-0.0594798,0.01
-0.0594798,0.01
-0.0594798,0.01
-0.0594802,0.01
-0.0594803,0.01
-0.0594803,0.01
-0.0594806,0.01
-0.059481,0.010207
-0.059481,0.010207
-0.0594811,0.010207
-0.0594811,0.010207
-0.0594818,0.010207
-0.0594818,0.01
-0.0594818,0.01
-0.0594822,0.01
-0.0594823,0.01
-0.0594826,0.01
-0.0594826,0.01
-0.059483,0.01
-0.059483,0.01
-0.0594832,0.01
-0.0594838,0.01
-0.0594838,0.01
-0.059484,0.01
-0.0594844,0.01
-0.0594848,0.01
-0.0594848,0.01
-0.0594854,0.01
-0.0594854,0.01
-0.0594856,0.01
-0.0594858,0.01
-0.0594862,0.01
-0.0594862,0.01
-0.0594862,0.01
-0.059487,0.01
-0.059487,0.01
-0.059487,0.01
-0.059487,0.01
-0.0594874,0.01
-0.0594876,0.01
-0.0594876,0.01
-0.059488,0.01
-0.0594882,0.01
-0.0594882,0.01
-0.0594886,0.01
-0.0594888,0.01
-0.0594888,0.01
-0.059489,0.01
-0.0594894,0.01
-0.0594894,0.01
-0.0594896,0.01
-0.0594902,0.01
-0.0594902,0.01
-0.0594902,0.0117652
-0.0594904,0.0117652
-0.0594908,0.0117652
-0.059491,0.0117652
-0.059491,0.0117652
-0.0594914,0.0117652
-0.0594916,0.01
-0.0594916,0.01
-0.0594922,0.01
-0.0594922,0.01
-0.0594924,0.01
-0.0594928,0.01
-0.059493,0.01
-0.059493,0.01
-0.0594934,0.01
-0.0594934,0.01
-0.0594936,0.01
-0.059494,0.01
-0.0594942,0.01
-0.0594942,0.01
-0.0594948,0.01
-0.0594948,0.01
-0.0594948,0.01
-0.0594954,0.01
-0.0594954,0.01
-0.0594956,0.01
-0.0594956,0.01
-0.059496,0.01
-0.0594962,0.01
-0.0594962,0.01
-0.0594968,0.01
-0.0594968,0.0116238
-0.0594968,0.0116238
-0.0594972,0.0116238
-0.0594976,0.0116238
-0.059498,0.0116238
-0.059498,0.0116238
-0.059498,0.01
-0.0594988,0.01
-0.0594988,0.01
-0.0594992,0.01
-0.0594992,0.01
-0.0594994,0.01
-0.0595,0.01
-0.0595,0.01
-0.0595,0.01
-0.0595004,0.01
-0.0595006,0.01
-0.0595012,0.01
-0.0595012,0.01
-0.0595012,0.01
-0.0595018,0.01
-0.059502,0.0101007
-0.059502,0.0101007
-0.0595024,0.0101007
-0.0595024,0.0101007
-0.0595026,0.0101007
-0.059503,0.01
-0.0595032,0.01
-0.0595032,0.01
-0.0595038,0.01
-0.0595038,0.01
-0.0595044,0.01
-0.0595044,0.01
-0.0595048,0.01
-0.059505,0.01
-0.059505,0.01
-0.0595056,0.01
-0.0595056,0.01
-0.0595062,0.01
-0.0595062,0.01
-0.0595066,0.01
-0.0595068,0.01
-0.059507,0.01
-0.0595074,0.01
-0.0595074,0.01
-0.059508,0.01
-0.0595082,0.01
-0.0595082,0.01
-0.0595086,0.01
-0.0595088,0.01
-0.0595094,0.01
-0.0595094,0.01
-0.0595094,0.01
-0.0595098,0.01
-0.0595102,0.01
-0.0595106,0.01
-0.0595106,0.01
-0.059511,0.01
-0.0595114,0.01
-0.0595118,0.01
-0.0595118,0.01
-0.0595118,0.01
-0.0595124,0.01
-0.0595126,0.01
-0.059513,0.01
-0.059513,0.01
-0.059513,0.01
-0.0595136,0.01
-0.0595138,0.0134004
-0.0595142,0.0134004
-0.0595142,0.0134004
-0.0595148,0.0134004
-0.059515,0.0134004
-0.059515,0.01
-0.0595154,0.01
-0.0595154,0.01
-0.059516,0.01
-0.0595162,0.01
-0.0595162,0.01
-0.0595166,0.01
-0.0595168,0.01
-0.0595172,0.01
-0.0595174,0.01
-0.059518,0.01
-0.059518,0.01
-0.059518,0.01
-0.0595184,0.01
-0.0595185,0.01
-0.0595192,0.0107146
-0.0595192,0.0107146
-0.0595192,0.0107146
-0.0595197,0.0107146
-0.05952,0.0107146
-0.0595204,0.0102062
-0.0595204,0.0102062
-0.0595204,0.0102062
-0.0595212,0.0102062
-0.0595212,0.0102062
-0.0595216,0.01
-0.0595218,0.01
-0.0595224,0.01
-0.0595224,0.01
-0.0595224,0.01
-0.059523,0.01
-0.0595232,0.01
-0.0595236,0.01
-0.0595238,0.01
-0.0595242,0.01
-0.0595244,0.01
-0.0595244,0.0127407
-0.059525,0.0127407
-0.059525,0.0127407
-0.0595255,0.0127407
-0.0595258,0.0127407
-0.0595262,0.01
-0.0595262,0.01
-0.0595267,0.01
-0.059527,0.01
-0.059527,0.01
-0.0595274,0.01
-0.0595275,0.01
-0.0595282,0.01
-0.0595282,0.01
-0.0595287,0.01
-0.059529,0.01
-0.059529,0.01
-0.0595294,0.01
-0.0595298,0.01
-0.0595302,0.01
-0.0595302,0.01
-0.0595302,0.01
-0.059531,0.01
-0.059531,0.01
-0.0595314,0.01
-0.0595316,0.01
-0.0595322,0.01
-0.0595322,0.01
-0.0595324,0.01
-0.0595328,0.01
-0.059533,0.01
-0.0595333,0.01
-0.0595336,0.01
-0.059534,0.01
-0.0595341,0.01
-0.0595348,0.01
-0.0595348,0.01
-0.0595356,0.01
-0.0595356,0.01
-0.059536,0.01
-0.0595364,0.01
-0.0595368,0.01
-0.059537,0.01
-0.0595376,0.01
-0.059538,0.01
-0.0595382,0.01
-0.0595388,0.01
-0.0595388,0.01
-0.0595394,0.01
-0.0595396,0.01
-0.05954,0.01
-0.0595402,0.01
-0.0595408,0.01
-0.0595408,0.01
-0.0595414,0.01
-0.0595414,0.01
-0.0595422,0.01
-0.0595422,0.01
-0.0595428,0.01
-0.059543,0.01
-0.0595434,0.01
-0.0595436,0.01
-0.0595442,0.01
-0.0595448,0.01
-0.0595448,0.01
-0.0595454,0.01
-0.0595456,0.01
-0.059546,0.01
-0.0595462,0.01
-0.0595468,0.01
-0.0595468,0.01
-0.0595474,0.01
-0.0595476,0.01
-0.059548,0.01
-0.0595482,0.01
-0.0595488,0.01
-0.0595488,0.01
-0.0595496,0.01
-0.0595496,0.01
-0.05955,0.01
-0.0595502,0.01
-0.0595508,0.01
-0.0595508,0.0132763
-0.0595514,0.0132763
-0.0595516,0.0132763
-0.0595518,0.0132763
-0.0595522,0.0132763
-0.0595526,0.01
-0.059553,0.01
-0.059553,0.01
-0.0595538,0.01
-0.0595538,0.01
-0.0595544,0.01
-0.0595546,0.01
-0.059555,0.01
-0.0595552,0.01
-0.0595558,0.01
-0.059556,0.01
-0.0595564,0.01
-0.0595566,0.01
-0.0595572,0.01
-0.0595572,0.01
-0.059558,0.01
-0.0595584,0.01
-0.0595588,0.01
-0.0595592,0.01
-0.0595595,0.01
-0.05956,0.01
-0.0595603,0.01
-0.0595608,0.01
-0.0595608,0.01
-0.0595614,0.01
-0.059562,0.01
-0.0595622,0.01
-0.0595626,0.01
-0.0595628,0.01
-0.0595634,0.01
-0.0595636,0.01
-0.059564,0.01
-0.0595646,0.01
-0.0595648,0.01
-0.0595652,0.01
-0.0595654,0.01
-0.059566,0.0104724
-0.059566,0.0104724
-0.0595666,0.0104724
-0.0595672,0.0104724
-0.0595674,0.0104724
-0.0595678,0.01
-0.059568,0.01
-0.0595686,0.01
-0.059569,0.01
-0.0595692,0.01
-0.0595698,0.01
-0.0595698,0.01
-0.0595706,0.01
-0.0595706,0.01
-0.0595712,0.01
-0.0595718,0.01
-0.0595718,0.01
-0.0595726,0.01
-0.059573,0.01
-0.0595732,0.01
-0.0595738,0.01
-0.0595742,0.01
-0.0595746,0.01
-0.059575,0.01
-0.0595752,0.01
-0.0595758,0.0109068
-0.0595762,0.0109068
-0.0595766,0.0109068
-0.059577,0.0109068
-0.0595776,0.0109068
-0.0595778,0.01
-0.0595782,0.01
-0.0595784,0.01
-0.059579,0.01
-0.0595796,0.01
-0.0595802,0.01
-0.0595804,0.01
-0.059581,0.01
-0.0595816,0.01
-0.0595818,0.01
-0.0595824,0.01
-0.0595828,0.01
-0.0595832,0.01
-0.0595836,0.01
-0.0595844,0.01
-0.0595848,0.0101027
-0.0595852,0.0101027
-0.0595856,0.0101027
-0.0595864,0.0101027
-0.0595868,0.0101027
-0.059587,0.01
-0.0595878,0.01
-0.0595882,0.01
-0.059589,0.01
-0.0595894,0.01
-0.0595902,0.01
-0.0595902,0.01
-0.059591,0.01
-0.0595914,0.01
-0.059592,0.01
-0.0595922,0.01
-0.0595928,0.01
-0.0595934,0.01
-0.0595936,0.01
-0.0595942,0.01
-0.0595948,0.01
-0.0595954,0.01
-0.0595956,0.01
-0.0595962,0.01
-0.0595968,0.01
-0.059597,0.01
-0.0595976,0.01
-0.0595981,0.01
-0.0595988,0.01
-0.0595989,0.01
-0.0595996,0.01
-0.0596,0.010095
-0.0596008,0.010095
-0.0596008,0.010095
-0.0596016,0.010095
-0.0596021,0.010095
-0.0596028,0.01
-0.0596028,0.01
-0.0596036,0.01
-0.0596042,0.01
-0.0596047,0.01
-0.059605,0.01
-0.0596055,0.01
-0.0596063,0.01
-0.0596067,0.01
-0.0596071,0.01
-0.0596078,0.01
-0.0596083,0.01
-0.0596086,0.01
-0.0596091,0.01
-0.0596098,0.01
-0.0596099,0.01
-0.0596106,0.01
-0.0596111,0.01
-0.0596118,0.01
-0.0596119,0.01
-0.0596126,0.01
-0.0596131,0.01
-0.0596134,0.01
-0.0596139,0.01
-0.0596145,0.01
-0.0596147,0.01
-0.0596153,0.01
-0.0596159,0.01
-0.0596161,0.01
-0.0596167,0.01
-0.0596173,0.01
-0.0596175,0.01
-0.0596181,0.01
-0.0596187,0.01
-0.0596189,0.01
-0.0596195,0.01
-0.0596201,0.01
-0.0596209,0.01
-0.0596211,0.01
-0.0596217,0.01
-0.0596223,0.01
-0.0596229,0.01
-0.0596233,0.01
-0.0596239,0.01
-0.0596245,0.01
-0.0596253,0.01
-0.0596257,0.01
-0.0596265,0.0100973
-0.0596269,0.0100973
-0.0596273,0.0100973
-0.0596281,0.0100973
-0.0596287,0.0100973
-0.0596293,0.01
-0.0596297,0.01
-0.0596303,0.01
-0.0596309,0.01
-0.0596317,0.01
-0.0596319,0.01
-0.0596325,0.01
-0.0596331,0.01
-0.0596337,0.01
-0.0596339,0.01
-0.0596346,0.01
-0.0596353,0.01
