Position in z [a.u.],Voltage [V]
0.0310218,0.108921
0.0310218,0.103734
0.0310218,0.105038
0.0310218,0.104525
0.0310218,0.102944
0.0310218,0.112957
0.0310218,0.108921
0.0310218,0.107617
0.0310218,0.108921
0.0310218,0.111376
0.0310218,0.108921
0.0310218,0.103734
0.0310218,0.103734
0.0310218,0.103734
0.0310218,0.103734
0.0310218,0.111376
0.0310218,0.114108
0.0310218,0.108921
0.0310218,0.108921
0.0310218,0.108921
0.0310218,0.106827
0.0310218,0.108921
0.031021,0.102584
0.031021,0.112957
0.031021,0.106467
0.031021,0.111653
0.031021,0.110072
0.031021,0.114108
0.031021,0.103734
0.031021,0.107771
0.031021,0.107771
0.031021,0.104885
0.031021,0.112804
0.031021,0.108921
0.031021,0.110863
0.031021,0.108921
0.031021,0.116562
0.031021,0.114108
0.031021,0.108921
0.031021,0.117353
0.031021,0.114108
0.031021,0.114108
0.031021,0.108921
0.031021,0.1172
0.0310206,0.108921
0.0310206,0.108921
0.0310206,0.108921
0.0310206,0.111653
0.0310206,0.108921
0.0310206,0.110863
0.0310206,0.108921
0.0310206,0.119295
0.0310206,0.112957
0.0310206,0.108921
0.0310206,0.114108
0.0310206,0.108921
0.0310206,0.108921
0.0310206,0.108921
0.0310206,0.104885
0.0310206,0.108921
0.0310206,0.108921
0.0310206,0.111807
0.031021,0.114108
0.0310215,0.107771
0.0310215,0.114108
0.0310215,0.10698
0.0310215,0.108921
0.0310215,0.109712
0.031021,0.106467
0.031021,0.0966063
0.031021,0.0993385
0.031021,0.112957
0.031021,0.104525
0.031021,0.105676
0.0310207,0.104525
0.0310207,0.106189
0.0310203,0.10128
0.0310207,0.110072
0.0310214,0.103734
0.0310214,0.108921
0.0310218,0.110072
0.0310218,0.100489
0.0310217,0.0993385
0.0310217,0.108921
0.0310221,0.104885
0.0310221,0.104525
0.0310221,0.107617
0.0310221,0.102584
0.0310225,0.103734
0.031022,0.101793
0.031022,0.103734
0.031022,0.10128
0.0310212,0.102584
0.0310212,0.105316
0.0310208,0.103734
0.0310215,0.107617
0.0310215,0.108921
0.0310214,0.106467
0.031021,0.115412
0.0310214,0.107617
0.0310214,0.105829
0.0310214,0.108921
0.0310218,0.105676
0.0310213,0.105829
0.0310213,0.106189
0.0310213,0.105038
0.0310213,0.107771
0.0310213,0.103734
0.0310213,0.104525
0.0310213,0.106189
0.0310209,0.102431
0.0310213,0.0964531
0.0310213,0.10813
0.0310213,0.104885
0.0310213,0.103734
0.0310213,0.103734
0.0310213,0.107771
0.0310213,0.103734
0.0310213,0.10128
0.0310213,0.108921
0.0310213,0.111653
0.0310213,0.103734
0.0310213,0.107617
0.0310213,0.10813
0.0310213,0.108921
0.0310213,0.108921
0.0310205,0.102584
0.0310213,0.108921
0.0310205,0.107617
0.0310201,0.105676
0.0310208,0.104885
0.0310208,0.107771
0.0310203,0.105316
0.0310203,0.102431
0.0310203,0.0985477
0.0310202,0.101002
0.0310207,0.10698
0.0310206,0.108921
0.0310206,0.10813
0.0310206,0.108921
0.0310206,0.103734
0.0310206,0.106036
0.0310205,0.108921
0.0310205,0.106467
0.0310205,0.103734
0.0310205,0.106467
0.0310201,0.102944
0.03102,0.103734
0.03102,0.10698
0.03102,0.108921
0.0310196,0.105676
0.0310196,0.10813
0.03102,0.107771
0.03102,0.102584
0.0310196,0.104885
0.03102,0.104525
0.0310199,0.112166
0.0310199,0.106189
0.0310199,0.103734
0.0310199,0.104525
0.0310199,0.102584
0.0310203,0.103734
0.0310199,0.103734
0.0310199,0.10813
0.0310199,0.112957
0.0310199,0.10813
0.0310198,0.107771
0.0310194,0.108921
0.0310194,0.10128
0.0310198,0.103734
0.0310193,0.10698
0.0310193,0.0993385
0.0310193,0.103734
0.0310193,0.106189
0.0310193,0.103734
0.0310193,0.108921
0.0310192,0.108921
0.0310192,0.103734
0.0310204,0.106467
0.03102,0.112166
0.0310192,0.103734
0.0310192,0.110072
0.03102,0.103734
0.0310195,0.104525
0.0310192,0.110072
0.0310195,0.112804
0.0310199,0.103734
0.0310187,0.101002
0.0310199,0.101793
0.0310194,0.105676
0.0310198,0.105676
0.0310194,0.112957
0.0310194,0.108921
0.0310197,0.104525
0.0310193,0.111653
0.0310193,0.10813
0.0310193,0.106189
0.0310188,0.112957
0.0310192,0.10813
0.0310188,0.108921
0.0310188,0.106467
0.0310188,0.0990607
0.0310192,0.100129
0.0310188,0.104885
0.0310192,0.100642
0.0310187,0.102431
0.0310191,0.10128
0.0310187,0.102944
0.0310187,0.0996983
0.0310187,0.101002
0.0310187,0.106467
0.0310187,0.10698
0.0310187,0.106467
0.0310187,0.111653
0.0310187,0.103734
0.0310187,0.112166
0.0310187,0.108921
0.0310187,0.0993385
0.0310187,0.114108
0.0310187,0.111376
0.0310187,0.108921
0.0310187,0.103734
0.0310187,0.108921
0.0310187,0.102584
0.0310187,0.101793
0.0310187,0.102584
0.0310187,0.103734
0.0310187,0.105676
0.0310187,0.103734
0.0310187,0.101002
0.0310187,0.100642
0.0310187,0.100849
0.0310187,0.107258
0.0310187,0.106467
0.0310187,0.10128
0.0310186,0.111376
0.031019,0.101793
0.0310185,0.102944
0.0310185,0.0985477
0.0310184,0.102431
