Position in z [m],Voltage [V]
0.0191385,0.120919
0.0191385,0.144323
0.0191385,0.142895
0.0191393,0.124998
0.0191393,0.123245
0.0191402,0.137662
0.019141,0.133787
0.019141,0.142856
0.0191418,0.131802
0.0191418,0.145247
0.0191427,0.129661
0.0191435,0.140743
0.0191435,0.18161
0.0191435,0.108398
0.0191444,0.142328
0.0191448,0.134851
0.0191461,0.139942
0.0191461,0.128553
0.0191461,0.14376
0.0191469,0.145364
0.0191469,0.148488
0.0191477,0.139176
0.0191486,0.148925
0.0191486,0.118543
0.0191494,0.147957
0.0191494,0.128193
0.0191511,0.152299
0.0191511,0.147045
0.0191519,0.146086
0.0191519,0.132511
0.0191524,0.11792
0.0191532,0.14007
0.0191536,0.134733
0.0191545,0.157453
0.0191545,0.139323
0.0191549,0.134744
0.0191557,0.167107
0.0191557,0.135692
0.019157,0.119163
0.019157,0.149773
0.019157,0.157059
0.0191582,0.135827
0.0191582,0.132939
0.0191595,0.13545
0.0191595,0.132803
0.0191595,0.150354
0.0191608,0.144331
0.0191608,0.135211
0.0191616,0.128339
0.019162,0.139229
0.019162,0.149243
0.0191633,0.13484
0.0191633,0.122907
0.0191641,0.148452
0.0191641,0.12798
0.0191654,0.147957
0.0191658,0.146386
0.0191667,0.123773
0.0191675,0.147248
0.0191675,0.127898
0.0191683,0.159481
0.0191696,0.154305
0.01917,0.133159
0.01917,0.142706
0.0191709,0.142828
0.0191717,0.14376
0.0191717,0.139927
0.0191729,0.15034
0.0191734,0.1325
0.0191742,0.137573
0.0191742,0.12777
0.0191751,0.141527
0.0191751,0.126719
0.0191767,0.124816
0.0191767,0.186722
0.0191776,0.143476
0.0191776,0.134965
0.0191784,0.152873
0.0191784,0.149269
0.0191797,0.153781
0.0191801,0.0726141
0.0191809,0.134541
0.0191818,0.153945
0.0191818,0.140961
0.0191826,0.13266
0.0191835,0.122992
0.0191843,0.136173
0.0191851,0.138068
0.0191851,0.149952
0.019186,0.238589
0.019186,0.161786
0.0191877,0.133665
0.0191877,0.144487
0.0191885,0.135353
0.0191885,0.134577
0.0191898,0.125956
0.0191898,0.151758
0.019191,0.133046
0.019191,0.152342
0.0191919,0.135888
0.0191927,0.140233
0.0191931,0.144793
0.019194,0.144561
0.0191952,0.144209
0.0191952,0.152403
0.0191961,0.154925
0.0191965,0.152338
0.0191965,0.12938
0.0191973,0.133904
0.0191982,0.1496
0.0191986,0.147101
0.0191998,0.142146
0.0191998,0.13183
0.0192007,0.126812
0.0192007,0.142681
0.0192015,0.147572
0.0192028,0.141616
0.0192032,0.138164
0.019204,0.131171
0.019204,0.133669
0.0192049,0.142744
0.0192057,0.135799
0.0192062,0.130641
0.0192074,0.137274
0.0192074,0.11979
0.0192082,0.148829
0.0192082,0.144786
0.0192095,0.132885
0.0192099,0.142183
0.0192108,0.146086
0.0192108,0.153357
0.0192116,0.131705
0.0192116,0.123221
0.0192133,0.142036
0.0192133,0.127955
0.0192141,0.152559
0.0192141,0.141826
0.019215,0.124734
0.0192154,0.151462
0.0192167,0.152933
0.0192167,0.158245
0.0192175,0.12778
0.0192179,0.130273
0.0192188,0.133693
0.0192196,0.131214
0.0192209,0.134192
0.0192209,0.144694
0.0192221,0.136785
0.0192221,0.127883
0.019223,0.137323
0.019223,0.124481
0.0192242,0.137879
0.0192255,0.121764
0.0192255,0.136903
0.0192263,0.128984
0.0192263,0.168632
0.0192272,0.126074
0.0192276,0.138659
0.0192288,0.129917
0.0192288,0.135147
0.0192297,0.135489
0.0192305,0.147305
0.0192305,0.138439
0.0192322,0.137894
0.0192322,0.132482
0.019233,0.134983
0.019233,0.147872
0.0192339,0.145809
0.0192347,0.147084
0.0192356,0.137213
0.0192356,0.148228
0.0192364,0.142481
0.0192372,0.141695
0.0192377,0.126508
0.0192389,0.118703
0.0192389,0.152737
0.0192398,0.137256
0.0192402,0.152175
0.019241,0.142055
0.0192414,0.127655
0.0192414,0.116969
0.0192423,0.116456
0.0192427,0.133133
0.0192435,0.13893
0.019244,0.153055
0.0192448,0.13763
0.0192452,0.135335
0.0192461,0.125276
0.0192461,0.135774
0.0192473,0.151584
0.0192486,0.131282
0.0192494,0.145549
0.0192494,0.132026
0.0192503,0.151473
0.0192503,0.139664
0.0192511,0.139098
0.0192528,0.136373
0.0192528,0.14068
0.0192536,0.155512
0.0192536,0.134218
0.0192545,0.148481
0.0192545,0.146542
0.0192562,0.133637
0.0192562,0.133811
0.019257,0.13359
0.0192578,0.13909
0.0192583,0.154486
0.0192595,0.133162
0.0192595,0.130737
0.0192604,0.159926
0.0192604,0.133152
0.0192616,0.149745
0.0192616,0.129956
0.019262,0.127577
0.0192629,0.151142
0.0192637,0.158277
0.0192641,0.159389
0.019265,0.15589
0.0192654,0.120314
0.0192662,0.12655
0.0192675,0.140366
