Position in z [m],Voltage [V]
0.0197117,0.01
0.0197129,0.01
0.0197138,0.01
0.0197138,0.0119552
0.0197146,0.0119552
0.0197158,0.0119552
0.0197166,0.0119552
0.0197166,0.0119552
0.0197179,0.01
0.0197187,0.01
0.0197191,0.01
0.0197199,0.01
0.0197208,0.01
0.0197216,0.01
0.0197224,0.01
0.0197228,0.01
0.019724,0.01
0.0197249,0.01
0.0197257,0.01
0.0197266,0.01
0.0197274,0.01
0.0197278,0.01
0.0197286,0.01
0.0197298,0.01
0.0197307,0.01
0.0197315,0.01
0.0197315,0.01
0.0197327,0.01
0.0197336,0.0101042
0.0197344,0.0101042
0.0197348,0.0101042
0.0197356,0.0101042
0.0197369,0.0101042
0.0197377,0.01
0.0197377,0.01
0.0197385,0.01
0.0197394,0.01
0.0197402,0.01
0.0197418,0.01
0.0197418,0.01
0.0197427,0.01
0.0197435,0.01
0.0197443,0.01
0.0197452,0.01
0.0197464,0.01
0.0197464,0.01
0.0197476,0.01
0.0197485,0.01
0.0197493,0.01
0.0197505,0.01
0.0197513,0.01
0.0197513,0.01
0.0197522,0.01
0.019753,0.01
0.0197539,0.01
0.0197555,0.01
0.0197563,0.01
0.0197571,0.01
0.0197571,0.01
0.019758,0.01
0.0197592,0.01
0.01976,0.01
0.0197613,0.01
0.0197621,0.01
0.0197621,0.01
0.0197633,0.01
0.0197641,0.01
0.019765,0.01
0.0197658,0.01
0.0197671,0.01
0.0197683,0.01
0.0197683,0.01
0.0197691,0.01
0.0197699,0.01
0.0197708,0.01
0.0197716,0.01
0.0197724,0.01
0.0197732,0.01
0.0197741,0.01
0.0197749,0.01
0.0197757,0.01
0.0197761,0.01
0.019777,0.01
0.0197778,0.01
0.0197786,0.01
0.0197799,0.01
0.0197811,0.01
0.0197811,0.01
0.0197819,0.01
0.0197828,0.01
0.0197836,0.01
0.0197848,0.01
0.019786,0.01
0.019786,0.01
0.0197869,0.01
0.0197877,0.01
0.0197889,0.01
0.0197889,0.01
0.0197898,0.01
0.019791,0.01
0.0197918,0.01
0.0197922,0.01
0.019793,0.01
0.0197939,0.01
0.0197939,0.01
0.0197947,0.01
0.0197963,0.01
0.0197963,0.01
0.0197972,0.01
0.019798,0.01
0.0197984,0.01
0.0197992,0.01
0.0198001,0.01
0.0198013,0.01
0.0198021,0.01
0.0198025,0.0114353
0.0198033,0.0114353
0.0198042,0.0114353
0.019805,0.0114353
0.0198066,0.01
0.0198066,0.01
0.0198075,0.01
0.0198083,0.01
0.0198091,0.01
0.0198103,0.01
0.0198103,0.01
0.0198116,0.01
0.0198128,0.01
0.0198136,0.01
0.0198145,0.01
0.0198148,0.01
0.0198157,0.01
0.0198169,0.01
0.0198177,0.01
0.0198177,0.01
0.019819,0.01
0.0198198,0.01
0.0198206,0.01
0.0198206,0.01
0.0198219,0.01
0.0198231,0.01
0.0198231,0.01
0.0198239,0.01
0.0198248,0.01
0.019826,0.01
0.019826,0.01
0.0198272,0.01
0.019828,0.01
0.019828,0.01
0.0198293,0.01
0.0198301,0.01
0.0198309,0.01
0.0198318,0.01
0.0198325,0.01
0.0198334,0.01
0.0198342,0.01
0.0198351,0.01
0.0198359,0.01
0.0198371,0.01
0.0198379,0.0115518
0.0198383,0.0115518
0.0198392,0.0115518
0.0198404,0.0115518
0.0198412,0.0115518
0.0198412,0.01
0.0198421,0.01
0.0198433,0.01
