Position in z [a.u.],Voltage [V]
0.0283018,0.114108
0.0283026,0.111376
0.028303,0.114899
0.028303,0.111376
0.028303,0.103734
0.0283038,0.108921
0.0283038,0.106467
0.0283038,0.103734
0.0283042,0.107771
0.0283046,0.114108
0.0283054,0.110863
0.0283054,0.102944
0.0283054,0.110225
0.0283054,0.10813
0.0283054,0.108921
0.0283062,0.108921
0.0283062,0.112166
0.0283062,0.113317
0.0283066,0.106467
0.028307,0.108921
0.028307,0.114108
0.028307,0.104885
0.0283078,0.108921
0.0283078,0.111016
0.0283078,0.10813
0.0283078,0.104525
0.0283086,0.103734
0.028309,0.104885
0.0283094,0.108921
0.0283102,0.108921
0.0283102,0.108921
0.028311,0.108921
0.0283114,0.108921
0.0283122,0.111653
0.0283122,0.107617
0.0283126,0.106189
0.0283134,0.108921
0.0283138,0.108921
0.0283138,0.108921
0.0283146,0.113317
0.0283146,0.103734
0.028315,0.110863
0.028315,0.112013
0.0283154,0.114899
0.0283162,0.103734
0.0283162,0.10698
0.0283162,0.108921
0.0283162,0.102584
0.0283162,0.103734
0.0283162,0.106189
0.0283162,0.106189
0.0283162,0.107617
0.0283162,0.112166
0.0283162,0.10128
0.0283162,0.105038
0.0283162,0.103734
0.0283162,0.110072
0.0283162,0.104525
0.0283162,0.110503
0.0283162,0.114108
0.0283162,0.106036
0.0283162,0.105038
0.0283162,0.110863
0.0283162,0.107771
0.0283166,0.110072
0.0283166,0.112166
0.0283166,0.110863
0.0283166,0.104525
0.0283166,0.110225
0.0283166,0.112957
0.0283166,0.108921
0.0283166,0.113317
0.0283166,0.110072
0.0283166,0.112804
0.0283166,0.108921
0.0283166,0.108921
0.0283174,0.108921
0.0283174,0.10813
0.0283174,0.103734
0.0283174,0.108921
0.0283181,0.108921
0.0283193,0.104885
0.0283193,0.104525
0.0283201,0.103734
0.028321,0.107617
0.0283217,0.108921
0.0283217,0.108921
0.0283229,0.114108
0.0283234,0.103734
0.0283241,0.101002
0.0283241,0.103734
0.0283241,0.104525
0.0283241,0.103734
0.0283246,0.107771
0.0283253,0.101002
0.0283253,0.107771
0.0283253,0.108921
0.0283265,0.112166
0.0283265,0.115259
0.0283273,0.108921
0.0283277,0.104525
0.0283277,0.102584
0.0283277,0.109712
0.0283289,0.104885
0.0283289,0.10734
0.0283293,0.103734
0.0283301,0.110072
0.0283301,0.112804
0.0283301,0.108921
0.0283301,0.107771
0.0283309,0.108921
0.0283317,0.110225
0.0283325,0.114108
0.0283325,0.108921
0.0283333,0.111653
0.0283341,0.0972439
0.0283349,0.0993385
0.0283349,0.105829
0.0283361,0.108921
0.0283369,0.103734
0.0283373,0.108921
0.0283385,0.107617
0.0283397,0.108921
0.0283401,0.110225
0.0283409,0.112957
0.0283409,0.0985477
0.0283421,0.104525
0.0283421,0.107771
0.0283433,0.103734
0.0283433,0.108921
0.0283449,0.107617
0.0283457,0.103734
0.0283464,0.108921
0.0283464,0.102431
0.0283469,0.103734
0.0283476,0.103734
0.0283476,0.103734
0.0283481,0.108921
0.0283481,0.108921
0.0283481,0.105676
