Position in x [m],Voltage [V]
-0.0706544,0.238589
-0.0706468,0.250266
-0.0706387,0.249753
-0.0706315,0.241834
-0.0706246,0.242625
-0.0706174,0.248963
-0.0706101,0.248963
-0.0706028,0.241834
-0.0705949,0.245717
-0.0705866,0.248963
-0.0705773,0.24845
-0.0705671,0.247381
-0.0705571,0.243776
-0.0705478,0.243776
-0.0705398,0.245717
-0.0705336,0.243776
-0.0705274,0.248963
-0.070522,0.242985
-0.0705169,0.24508
-0.0705112,0.24089
-0.0705046,0.242985
-0.0704972,0.240531
-0.0704901,0.240531
-0.0704825,0.242985
-0.0704742,0.243776
-0.070466,0.236135
-0.0704574,0.240171
-0.0704493,0.235857
-0.0704415,0.237285
-0.070433,0.242625
-0.070424,0.247021
-0.0704153,0.241044
-0.0704077,0.243776
-0.0703996,0.241321
-0.0703902,0.242625
-0.0703807,0.248963
-0.0703715,0.244567
-0.0703614,0.237285
-0.0703517,0.243776
-0.0703423,0.242985
-0.070333,0.243776
-0.070324,0.238589
-0.0703157,0.242472
-0.0703072,0.243776
-0.0702971,0.245358
-0.0702868,0.241321
-0.0702754,0.243776
-0.0702621,0.235857
-0.0702482,0.238589
-0.0702355,0.23974
-0.0702246,0.247812
-0.0702133,0.245717
-0.0702036,0.248685
-0.0701943,0.248963
-0.0701853,0.24623
-0.0701756,0.248963
-0.0701655,0.249753
-0.0701551,0.247021
-0.0701438,0.247021
-0.0701313,0.244567
-0.0701189,0.242194
-0.0701058,0.240531
-0.0700939,0.241834
-0.0700831,0.239893
-0.0700731,0.242985
-0.0700642,0.243776
-0.0700541,0.248172
-0.0700447,0.243776
-0.0700356,0.24623
-0.0700266,0.250113
-0.0700174,0.247021
-0.0700071,0.248963
-0.0699973,0.23938
-0.069988,0.250904
-0.0699785,0.250113
-0.0699693,0.243263
-0.0699598,0.243776
-0.0699499,0.243776
-0.0699405,0.246508
-0.0699312,0.248172
-0.0699208,0.246508
-0.0699096,0.246508
-0.0698995,0.241321
-0.0698884,0.247812
-0.0698788,0.247021
-0.069872,0.245358
-0.0698651,0.243776
-0.0698572,0.248963
-0.069849,0.250113
-0.0698397,0.246868
-0.0698294,0.23938
-0.0698174,0.233402
-0.0698044,0.234193
-0.0697926,0.238589
-0.0697831,0.238589
-0.069773,0.241834
-0.0697631,0.237798
-0.0697517,0.235344
-0.0697402,0.238589
-0.0697292,0.243776
-0.069717,0.244567
-0.0697045,0.243776
-0.0696949,0.248963
-0.0696858,0.243776
-0.0696771,0.24623
-0.0696684,0.241834
-0.06966,0.241044
-0.0696507,0.243776
-0.0696405,0.243776
-0.0696307,0.247381
-0.0696216,0.30083
-0.0696129,0.456432
-0.0696048,0.496775
-0.0695969,0.477178
-0.0695892,0.418183
-0.0695813,0.375385
-0.0695727,0.34751
-0.0695631,0.324309
-0.0695531,0.373444
-0.0695427,0.618802
-0.0695309,1.21239
-0.069519,1.94732
-0.0695062,3.53814
-0.0694928,5.04185
-0.0694791,5.30796
-0.0694645,5.30847
-0.0694499,5.30602
-0.069436,5.30796
-0.0694238,5.30832
-0.0694139,5.30732
-0.0694068,5.30732
-0.0693992,5.30681
-0.0693909,5.30926
-0.0693828,5.30796
-0.0693743,5.30847
-0.0693652,5.30875
-0.0693545,5.3099
-0.0693428,5.3076
-0.0693287,5.30732
-0.0693111,5.30811
-0.0692943,5.30717
-0.0692804,5.30875
-0.0692684,5.30796
-0.0692588,5.30796
-0.0692496,5.31005
-0.0692399,5.30602
-0.0692303,5.30681
-0.0692211,5.30796
-0.0692116,5.30602
-0.0692017,5.31005
-0.0691925,5.30926
-0.0691824,5.30681
-0.0691725,5.30847
-0.0691615,5.30717
-0.0691491,5.30875
-0.0691345,5.30911
-0.0691198,5.31005
-0.0691057,5.3112
-0.0690921,5.30796
-0.0690786,5.30847
-0.0690667,5.30717
-0.0690559,5.30602
-0.069046,5.30847
-0.0690359,5.31005
-0.0690249,5.30926
-0.0690135,5.30717
-0.0690014,5.30717
-0.0689899,5.30847
-0.0689791,5.31041
-0.0689686,5.3076
-0.0689587,5.30602
-0.0689493,5.30796
-0.068939,5.30847
-0.0689284,5.30602
-0.0689177,5.30832
-0.0689075,5.30602
-0.0688976,5.30602
-0.0688871,5.30681
-0.068877,5.30566
-0.0688659,5.3076
-0.0688555,5.30717
-0.0688448,5.30875
-0.0688341,5.30875
-0.0688247,5.30875
-0.0688146,5.30681
-0.0688037,5.30717
-0.0687923,5.30926
-0.0687808,5.30847
-0.0687691,5.30962
-0.0687575,5.30796
-0.0687457,5.31005
-0.0687347,5.3112
-0.068724,5.30796
-0.0687141,5.30875
-0.068704,5.30847
-0.0686942,5.30839
-0.0686847,5.30926
-0.0686747,5.30602
-0.0686642,5.30796
-0.0686544,5.30926
-0.0686452,5.30811
-0.0686361,5.30602
-0.0686277,5.30926
-0.0686188,5.30926
-0.0686091,5.31041
-0.0686004,5.3076
-0.0685913,5.30602
-0.0685827,5.30847
-0.0685735,5.3099
-0.068565,5.30681
-0.0685566,5.30602
-0.0685479,5.30811
-0.0685394,5.30717
-0.0685305,5.30875
-0.0685208,5.30732
-0.0685103,5.30847
