Position in z [a.u.],Voltage [V]
0.0293851,0.111653
0.0293851,0.114108
0.0293851,0.114108
0.0293851,0.110863
0.0293851,0.114108
0.0293851,0.108921
0.0293851,0.114108
0.0293851,0.114899
0.0293851,0.108921
0.0293851,0.108921
0.0293851,0.108921
0.0293851,0.108921
0.0293851,0.119295
0.0293851,0.119295
0.0293851,0.112804
0.0293851,0.104885
0.0293851,0.108921
0.0293851,0.108921
0.0293851,0.108921
0.0293851,0.114108
0.0293851,0.114108
0.0293851,0.107771
0.0293851,0.103734
0.0293851,0.108921
0.0293851,0.114108
0.0293851,0.108921
0.0293851,0.103734
0.0293851,0.114108
0.0293851,0.108921
0.0293851,0.114108
0.0293851,0.108921
0.0293851,0.108921
0.0293851,0.114108
0.0293851,0.114108
0.0293851,0.107771
0.0293851,0.108921
0.0293851,0.113317
0.0293851,0.108921
0.0293851,0.108921
0.0293844,0.114108
0.0293844,0.108921
0.0293832,0.114108
0.0293824,0.108921
0.0293816,0.114108
0.0293804,0.108921
0.0293797,0.114108
0.0293781,0.114108
0.0293769,0.114108
0.0293761,0.114108
0.0293753,0.119295
0.0293745,0.112166
0.0293737,0.108921
0.0293737,0.108921
0.0293725,0.108921
0.0293725,0.108921
0.0293717,0.116562
0.0293709,0.114108
0.0293701,0.112957
0.0293689,0.114108
0.0293682,0.112957
0.0293666,0.103734
0.0293646,0.107771
0.0293637,0.110863
0.029363,0.106189
0.029361,0.108921
0.029359,0.108921
0.0293579,0.112957
0.0293562,0.114108
0.0293555,0.108921
0.0293543,0.114108
0.0293527,0.110863
0.0293527,0.114108
0.0293515,0.110225
0.0293511,0.113317
0.0293503,0.105316
0.0293503,0.103734
0.0293503,0.108921
0.0293503,0.108921
0.0293503,0.114108
0.0293499,0.108921
0.0293499,0.114108
0.0293499,0.103734
0.0293499,0.105676
0.0293499,0.112166
0.0293499,0.114108
0.0293499,0.108921
0.0293499,0.108921
0.0293499,0.107617
0.0293491,0.108921
0.0293467,0.109712
0.0293443,0.107617
0.0293395,0.114899
0.0293372,0.120085
0.0293344,0.108921
0.0293327,0.108921
0.0293304,0.103734
0.0293287,0.108921
0.029328,0.108921
0.0293264,0.110072
0.0293264,0.112957
0.0293264,0.108921
0.0293264,0.108921
0.0293264,0.103734
0.0293264,0.111653
0.0293252,0.108921
0.0293252,0.114108
0.0293256,0.109712
0.0293247,0.112166
0.0293247,0.110072
0.0293247,0.110072
0.0293247,0.105038
0.0293247,0.114108
0.0293247,0.115259
0.0293247,0.108921
0.0293247,0.108921
0.029324,0.114108
0.029324,0.111376
0.0293228,0.112804
0.0293228,0.111016
0.0293223,0.108921
0.0293212,0.110072
0.0293212,0.107771
0.0293204,0.114108
0.02932,0.108921
0.0293188,0.103734
0.0293188,0.10698
0.029318,0.110225
0.029318,0.108921
0.0293164,0.10813
0.0293164,0.108921
0.0293156,0.109712
0.0293148,0.114108
0.029314,0.114108
0.0293128,0.114108
0.029312,0.114108
0.0293112,0.119295
0.0293104,0.114899
0.0293097,0.108921
0.0293088,0.110072
0.0293088,0.110072
0.0293088,0.110072
0.0293088,0.108921
0.0293088,0.102153
0.0293088,0.108921
0.0293088,0.114108
0.0293088,0.108921
0.0293088,0.114899
0.0293088,0.114108
0.0293088,0.108921
0.0293088,0.119295
0.0293088,0.108921
0.0293088,0.108921
0.0293088,0.116049
0.029308,0.112166
0.0293064,0.114108
