Position in z [m],Voltage [V]
0.0292506,0.255731
0.0292506,0.253872
0.0292514,0.254149
0.0292514,0.257395
0.0292518,0.255453
0.0292531,0.259336
0.0292531,0.259336
0.0292531,0.263219
0.0292543,0.258545
0.0292543,0.259336
0.0292547,0.255453
0.0292555,0.259336
0.0292559,0.259336
0.0292567,0.264523
0.0292567,0.261791
0.0292567,0.265827
0.0292579,0.261278
0.0292583,0.267768
0.0292583,0.263219
0.0292591,0.26971
0.0292591,0.265673
0.0292591,0.264523
0.0292607,0.26971
0.0292607,0.268128
0.0292607,0.267768
0.0292615,0.268406
0.0292615,0.277198
0.0292624,0.264523
0.0292631,0.272164
0.0292631,0.274896
0.0292639,0.274896
0.0292643,0.28527
0.0292648,0.28527
0.0292656,0.28642
0.0292656,0.291247
0.0292663,0.293189
0.0292668,0.295643
0.0292672,0.298375
0.029268,0.298888
0.029268,0.30083
0.0292684,0.305226
0.0292696,0.307167
0.0292696,0.306017
0.0292696,0.312354
0.0292704,0.315239
0.0292708,0.309899
0.0292708,0.311203
0.029272,0.322368
0.029272,0.32546
0.0292728,0.326763
0.029274,0.33195
0.029274,0.343114
0.0292748,0.34751
0.029276,0.352697
0.029276,0.367466
0.0292772,0.375385
0.0292772,0.377327
0.029278,0.394191
0.0292788,0.410902
0.0292792,0.428556
0.0292804,0.436988
0.0292804,0.451245
0.0292812,0.466805
0.0292812,0.478329
0.029282,0.495984
0.0292828,0.513485
0.0292836,0.533873
0.0292844,0.550583
0.0292844,0.570539
0.0292852,0.60166
0.0292852,0.630048
0.0292868,0.667506
0.0292868,0.705394
0.0292876,0.746375
0.0292876,0.794359
0.0292884,0.845436
0.0292896,0.892116
0.02929,0.955507
0.0292908,1.02697
0.0292908,1.07999
0.0292916,1.16103
0.0292928,1.26037
0.0292928,1.3322
0.029294,1.41079
0.029294,1.49817
0.0292948,1.5949
0.029296,1.68568
0.029296,2.03953
0.0292968,2.56497
0.0292972,3.33831
0.029298,4.91428
0.0292984,5.3112
0.0292992,5.3112
0.0292992,5.3112
0.0293,5.3112
0.0293,5.31235
0.0293016,5.3112
0.0293016,5.31041
0.0293024,5.3112
0.0293032,5.3112
0.0293032,5.31199
0.0293044,5.31069
0.0293048,5.31005
0.0293056,5.3099
0.0293064,5.3112
0.0293064,5.09855
0.0293072,4.60308
0.0293072,4.1027
0.0293088,3.65224
0.0293096,3.30149
0.0293096,3.05771
0.0293104,2.71266
0.0293104,2.41701
0.029312,2.21992
0.0293128,2.10581
0.0293128,2.01569
0.0293136,1.9139
0.0293136,1.77984
0.0293148,1.75636
0.0293152,1.77905
